user_id,education_stage,major_field,major_name,city,career_status,anxiety_type,anxiety_duration,pressure_attribution,hard_skills,soft_skills,direction,action_stage,actions_taken,help_needed,target_company_type,decision_style,social_preference,stress_response,communication_style,current_node_type,current_node_since,profile_completeness,aggregated_tags,data_source,profile_description
U0001,大一大二,理工科,数学,北京,实习中,"[""面试过不了""]",1-3个月,说不清,"[""用户研究"", ""Python"", ""机器学习"", ""项目管理"", ""PS""]","[""创意思维"", ""时间管理""]","[""还没确定"", ""咨询""]",还没开始,"[""还没行动""]","[""想看同类人去向""]","[""外企""]",收集信息型,喜欢群体讨论,向外倾诉,"[""直接"", ""理性""]",crisis,2025-05-23,96,"[""咨询"", ""面试过不了"", ""还没确定"", ""想看同类人去向"", ""还没行动""]",molt_acts,理工科数学专业大一大二，目前实习中。核心焦虑：面试过不了。行动阶段：还没开始。探索方向：还没确定、咨询。期望：想看同类人去向
U0002,研究生在读,理工科,化学工程,青岛,实习中,"[""AI替代焦虑"", ""同辈压力""]",3-6个月,主要是自身能力的,"[""财务分析"", ""英语""]","[""表达能力"", ""抗压能力""]","[""数据""]",还没开始,"[""考证"", ""找前辈聊""]","[""想找过来人聊"", ""想要方向建议""]","[""外企""]",收集信息型,喜欢群体讨论,转化为行动,"[""理性"", ""直接"", ""委婉""]",crisis,2025-05-23,74,"[""考证"", ""AI替代焦虑"", ""找前辈聊"", ""想找过来人聊"", ""同辈压力"", ""想要方向建议"", ""数据""]",llm_inferred,理工科化学工程专业研究生在读，目前实习中。核心焦虑：AI替代焦虑、同辈压力。行动阶段：还没开始，已尝试考证、找前辈聊。探索方向：数据。期望：想找过来人聊、想要方向建议
U0003,大三大四,艺术,动画,广州,在校求职中,"[""不知道能做什么""]",3-6个月,主要是自身能力的,"[""项目管理""]","[""跨文化沟通"", ""学习能力"", ""创意思维""]","[""研究""]",还没开始,"[""还没行动""]","[""想要方向建议""]","[""创业公司""]",收集信息型,不想社交只想看数据,回避,"[""委婉"", ""理性""]",crisis,2025-07-22,86,"[""想要方向建议"", ""不知道能做什么"", ""研究"", ""还没行动""]",llm_inferred,艺术动画专业大三大四，目前在校求职中。核心焦虑：不知道能做什么。行动阶段：还没开始。探索方向：研究。期望：想要方向建议
U0004,大一大二,其他,新闻传播,西安,实习中,"[""面试过不了"", ""不知道能做什么"", ""方向迷茫""]",1-3个月,主要是外部结构性的,"[""市场营销"", ""SQL"", ""写作"", ""财务分析"", ""PS""]","[""创意思维"", ""共情力""]","[""自由职业""]",还没开始,"[""做副业"", ""参加社群""]","[""想找过来人聊"", ""想要方向建议"", ""想要信心确认""]","[""无偏好""]",收集信息型,喜欢群体讨论,向外倾诉,"[""委婉"", ""感性""]",crisis,2026-01-05,91,"[""做副业"", ""方向迷茫"", ""面试过不了"", ""参加社群"", ""想要方向建议"", ""想找过来人聊"", ""不知道能做什么"", ""自由职业"", ""想要信心确认""]",llm_inferred,其他新闻传播专业大一大二，目前实习中。核心焦虑：面试过不了、不知道能做什么、方向迷茫。行动阶段：还没开始，已尝试做副业、参加社群。探索方向：自由职业。期望：想找过来人聊、想要方向建议、想要信心确认
U0005,毕业1-3年,文科,哲学,深圳,已工作想转型,"[""技能过时""]",反复波动,主要是自身能力的,"[""设计"", ""Java""]","[""团队协作"", ""领导力""]","[""内容"", ""设计""]",还没开始,"[""投简历""]","[""想找过来人聊"", ""想要方向建议""]","[""无偏好""]",收集信息型,不想社交只想看数据,转化为行动,"[""感性"", ""严肃""]",crisis,2026-03-23,83,"[""投简历"", ""内容"", ""设计"", ""还没行动"", ""想要方向建议"", ""想找过来人聊"", ""技能过时""]",user_input,文科哲学专业毕业1-3年，目前已工作想转型。核心焦虑：技能过时。行动阶段：还没开始，已尝试投简历。探索方向：内容、设计。期望：想找过来人聊、想要方向建议
U0006,大三大四,艺术,环境设计,长沙,在校求职中,"[""不知道能做什么""]",6个月以上,说不清,"[""Java"", ""项目管理"", ""机器学习""]","[""解决问题"", ""时间管理""]","[""设计""]",还没开始,"[""找前辈聊"", ""投简历""]","[""想要方向建议"", ""想找过来人聊"", ""想要信心确认""]","[""创业公司""]",深思熟虑型,偏好1对1深度对话,回避,"[""严肃"", ""理性""]",crisis,2025-10-23,75,"[""投简历"", ""找前辈聊"", ""设计"", ""想要方向建议"", ""想找过来人聊"", ""不知道能做什么"", ""想要信心确认""]",molt_acts,艺术环境设计专业大三大四，目前在校求职中。核心焦虑：不知道能做什么。行动阶段：还没开始，已尝试找前辈聊、投简历。探索方向：设计。期望：想要方向建议、想找过来人聊、想要信心确认
U0007,毕业3年以上,文科,心理学,北京,待业中,"[""AI替代焦虑"", ""方向迷茫""]",1个月内,主要是自身能力的,"[""英语"", ""PR""]","[""共情力""]","[""运营"", ""设计""]",刚开始探索,"[""转行""]","[""想要信心确认""]","[""创业公司""]",跟随他人型,不想社交只想看数据,回避,"[""严肃""]",crisis,2025-11-30,79,"[""方向迷茫"", ""AI替代焦虑"", ""转行"", ""设计"", ""想要信心确认"", ""运营""]",user_input,文科心理学专业毕业3年以上，目前待业中。核心焦虑：AI替代焦虑、方向迷茫。行动阶段：刚开始探索，已尝试转行。探索方向：运营、设计。期望：想要信心确认
U0008,应届毕业,商科,工商管理,苏州,在校求职中,"[""同辈压力""]",1个月内,主要是自身能力的,"[""数据分析"", ""用户研究"", ""Java""]","[""共情力"", ""领导力""]","[""咨询""]",接近落地,"[""学新技能""]","[""想找过来人聊"", ""想要方向建议""]","[""国企事业单位""]",深思熟虑型,喜欢群体讨论,向内消化,"[""直接"", ""严肃"", ""幽默""]",acting,2025-02-11,56,"[""咨询"", ""学新技能"", ""同辈压力"", ""想要方向建议"", ""想找过来人聊""]",memory_import,商科工商管理专业应届毕业，目前在校求职中。核心焦虑：同辈压力。行动阶段：接近落地，已尝试学新技能。探索方向：咨询。期望：想找过来人聊、想要方向建议
U0009,毕业3年以上,艺术,环境设计,武汉,待业中,"[""方向迷茫""]",反复波动,两者都有,"[""项目管理"", ""C++"", ""市场营销"", ""设计"", ""Excel""]","[""跨文化沟通""]","[""还没确定""]",已有具体行动,"[""投简历"", ""学新技能"", ""找前辈聊""]","[""想找过来人聊"", ""想要信心确认""]","[""自由职业""]",深思熟虑型,更愿意先看别人的故事,向内消化,"[""幽默""]",acting,2025-07-09,63,"[""方向迷茫"", ""投简历"", ""还没确定"", ""找前辈聊"", ""学新技能"", ""想要信心确认"", ""想找过来人聊""]",user_input,艺术环境设计专业毕业3年以上，目前待业中。核心焦虑：方向迷茫。行动阶段：已有具体行动，已尝试投简历、学新技能、找前辈聊。探索方向：还没确定。期望：想找过来人聊、想要信心确认
U0010,毕业3年以上,理工科,机械工程,西安,待业中,"[""专业冷门""]",6个月以上,主要是外部结构性的,"[""Python""]","[""逻辑思维"", ""学习能力"", ""团队协作""]","[""设计"", ""内容""]",接近落地,"[""学新技能"", ""投简历"", ""考证""]","[""想要方向建议""]","[""大厂""]",深思熟虑型,喜欢群体讨论,向内消化,"[""感性"", ""理性""]",acting,2025-03-24,92,"[""考证"", ""专业冷门"", ""投简历"", ""内容"", ""学新技能"", ""设计"", ""想要方向建议""]",resume,理工科机械工程专业毕业3年以上，目前待业中。核心焦虑：专业冷门。行动阶段：接近落地，已尝试学新技能、投简历、考证。探索方向：设计、内容。期望：想要方向建议
U0011,大三大四,教育,教育学,南京,在校求职中,"[""AI替代焦虑""]",1个月内,说不清,"[""Python"", ""视频制作"", ""SQL"", ""PS""]","[""团队协作"", ""逻辑思维""]","[""设计"", ""还没确定""]",还没开始,"[""转行"", ""做项目""]","[""想看同类人去向"", ""想找过来人聊"", ""想要方向建议""]","[""创业公司""]",直觉行动型,不想社交只想看数据,转化为行动,"[""委婉"", ""理性""]",crisis,2026-02-08,89,"[""做项目"", ""AI替代焦虑"", ""还没确定"", ""想看同类人去向"", ""转行"", ""设计"", ""想要方向建议"", ""想找过来人聊""]",user_input,教育教育学专业大三大四，目前在校求职中。核心焦虑：AI替代焦虑。行动阶段：还没开始，已尝试转行、做项目。探索方向：设计、还没确定。期望：想看同类人去向、想找过来人聊、想要方向建议
U0012,应届毕业,艺术,数字媒体艺术,深圳,在校求职中,"[""行业缩招"", ""技能过时"", ""同辈压力""]",3-6个月,主要是外部结构性的,"[""写作""]","[""自驱力"", ""解决问题"", ""抗压能力"", ""领导力""]","[""还没确定""]",已有具体行动,"[""还没行动""]","[""想看同类人去向"", ""想要方向建议"", ""想要信心确认""]","[""无偏好""]",跟随他人型,偏好1对1深度对话,向外倾诉,"[""严肃"", ""直接""]",acting,2025-03-01,69,"[""还没确定"", ""想要信心确认"", ""想看同类人去向"", ""同辈压力"", ""还没行动"", ""行业缩招"", ""想要方向建议"", ""技能过时""]",memory_import,艺术数字媒体艺术专业应届毕业，目前在校求职中。核心焦虑：行业缩招、技能过时、同辈压力。行动阶段：已有具体行动。探索方向：还没确定。期望：想看同类人去向、想要方向建议、想要信心确认
U0013,毕业3年以上,医学,护理学,南京,自由职业,"[""行业缩招"", ""不知道能做什么""]",反复波动,两者都有,"[""用户研究"", ""产品原型""]","[""抗压能力"", ""领导力"", ""共情力""]","[""研究""]",接近落地,"[""找前辈聊"", ""转行""]","[""想要信心确认"", ""想要方向建议""]","[""国企事业单位""]",跟随他人型,不想社交只想看数据,向外倾诉,"[""严肃"", ""委婉"", ""直接""]",landed,2025-06-05,63,"[""研究"", ""想要方向建议"", ""找前辈聊"", ""转行"", ""行业缩招"", ""想要信心确认"", ""不知道能做什么""]",memory_import,医学护理学专业毕业3年以上，目前自由职业。核心焦虑：行业缩招、不知道能做什么。行动阶段：接近落地，已尝试找前辈聊、转行。探索方向：研究。期望：想要信心确认、想要方向建议
U0014,大一大二,医学,护理学,广州,实习中,"[""行业缩招"", ""专业冷门""]",反复波动,说不清,"[""Java"", ""PPT"", ""翻译"", ""设计""]","[""表达能力""]","[""技术"", ""产品""]",还没开始,"[""投简历""]","[""想看同类人去向""]","[""大厂""]",直觉行动型,偏好1对1深度对话,回避,"[""严肃""]",crisis,2026-02-03,72,"[""专业冷门"", ""技术"", ""投简历"", ""想看同类人去向"", ""产品"", ""行业缩招""]",llm_inferred,医学护理学专业大一大二，目前实习中。核心焦虑：行业缩招、专业冷门。行动阶段：还没开始，已尝试投简历。探索方向：技术、产品。期望：想看同类人去向
U0015,应届毕业,医学,临床医学,广州,待业中,"[""不知道能做什么"", ""方向迷茫""]",1-3个月,主要是自身能力的,"[""翻译"", ""市场营销"", ""PR"", ""英语""]","[""跨文化沟通"", ""团队协作"", ""自驱力""]","[""咨询"", ""教育""]",刚开始探索,"[""参加社群""]","[""想要方向建议"", ""想要信心确认""]","[""国企事业单位""]",直觉行动型,喜欢群体讨论,向内消化,"[""严肃"", ""幽默""]",exploring,2025-06-13,79,"[""咨询"", ""方向迷茫"", ""教育"", ""参加社群"", ""想要方向建议"", ""不知道能做什么"", ""想要信心确认""]",llm_inferred,医学临床医学专业应届毕业，目前待业中。核心焦虑：不知道能做什么、方向迷茫。行动阶段：刚开始探索，已尝试参加社群。探索方向：咨询、教育。期望：想要方向建议、想要信心确认
